Feature,Operation,Work Material,Speed,feed per tooth,No. of tooth,Dia. Of tool,Cutting tool material,Depth of cut,Feed,Spindle speed
1,1,1,47.85,0.02,2,1.6,1,0.5,0.04,9521.251194
1,1,1,62.48,0.038,2,3.175,1,1,0.076,6265.119439
1,1,1,76.2,0.066,2,6.35,1,2,0.132,3820.439351
1,1,1,77.72,0.066,2,9.652,1,3,0.132,2563.58394
1,1,1,77.72,0.074,2,12.7,1,5,0.148,1948.323795
1,1,1,77.72,0.094,2,19.05,1,8,0.188,1298.88253
1,1,1,77.72,0.102,2,25.4,1,15,0.204,974.1618974
1,1,1,77.72,0.119,2,31.75,1,20,0.238,779.3295179
1,1,1,77.72,0.132,2,38.1,1,25,0.264,649.4412649
1,1,1,80.77,0.132,2,50.8,1,29,0.264,506.1956797
1,1,1,80.77,0.147,2,76.2,1,33,0.294,337.4637865
1,1,1,80.77,0.158,2,101.6,1,37,0.316,253.0978398
1,1,1,80.77,0.168,2,152.4,1,40,0.336,168.7318932
1,1,1,80.77,0.185,2,304.8,1,45,0.37,84.36594662
1,1,1,19.51,0.058,2,1.6,3,0.5,0.116,3882.123528
1,1,1,27.43,0.069,2,3.175,3,1,0.138,2750.515784
1,1,1,28.65,0.099,2,6.35,3,2,0.198,1436.425031
1,1,1,30.18,0.119,2,9.652,3,3,0.238,995.4833161
1,1,1,32.61,0.137,2,12.7,3,5,0.274,817.4837744
1,1,1,35.66,0.145,2,19.05,3,8,0.29,595.9617989
1,1,1,36.88,0.163,2,25.4,3,15,0.326,462.263134
1,1,1,37.49,0.165,2,31.75,3,20,0.33,375.9272211
1,1,1,38.4,0.17,2,38.1,3,25,0.34,320.8767958
1,1,1,38.4,0.178,2,50.8,3,29,0.356,240.6575969
1,1,1,38.4,0.196,2,76.2,3,33,0.392,160.4383979
1,1,1,38.4,0.196,2,101.6,3,37,0.392,120.3287984
1,1,1,38.4,0.196,2,152.4,3,40,0.392,80.21919896
1,1,1,38.4,0.196,2,304.8,3,45,0.392,40.10959948
1,1,1,14.63,0.056,2,1.6,2,0.5,0.112,2911.095193
1,1,1,20.73,0.066,2,3.175,2,1,0.132,2078.679993
1,1,1,21.64,0.094,2,6.35,2,2,0.188,1084.964666
1,1,1,22.86,0.114,2,9.652,2,3,0.228,754.0340823
1,1,1,24.69,0.132,2,12.7,2,5,0.264,618.941257
1,1,1,26.82,0.137,2,19.05,2,8,0.274,448.2247742
1,1,1,28.04,0.155,2,25.4,2,15,0.31,351.4603654
1,1,1,28.35,0.158,2,31.75,2,20,0.316,284.2767863
1,1,1,28.96,0.163,2,38.1,2,25,0.326,241.9945835
1,1,1,28.96,0.168,2,50.8,2,29,0.336,181.4959376
1,1,1,28.96,0.185,2,76.2,2,33,0.37,120.9972918
1,1,1,28.96,0.185,2,101.6,2,37,0.37,90.74796882
1,1,1,28.96,0.185,2,152.4,2,40,0.37,60.49864588
1,1,1,28.96,0.185,2,304.8,2,45,0.37,30.24932294
1,1,1,21.03,0.064,2,1.6,4,0.5,0.128,4184.574976
1,1,1,29.87,0.071,2,3.175,4,1,0.142,2995.184341
1,1,1,31.09,0.104,2,6.35,4,2,0.208,1558.75931
1,1,1,32.92,0.124,2,9.652,4,3,0.248,1085.861854
1,1,1,35.36,0.145,2,12.7,4,5,0.29,886.4221485
1,1,1,38.71,0.152,2,19.05,4,8,0.304,646.934415
1,1,1,40.23,0.17,2,25.4,4,15,0.34,504.252871
1,1,1,40.84,0.173,2,31.75,4,20,0.346,409.5190107
1,1,1,41.76,0.178,2,38.1,4,25,0.356,348.9535155
1,1,1,41.76,0.185,2,50.8,4,29,0.37,261.7151366
1,1,1,41.76,0.206,2,76.2,4,33,0.412,174.4767577
1,1,1,41.76,0.206,2,101.6,4,37,0.412,130.8575683
1,1,1,41.76,0.206,2,152.4,4,40,0.412,87.23837887
1,1,1,41.76,0.206,2,304.8,4,45,0.412,43.61918944
1,1,1,18.29,0.056,2,1.6,2,0.5,0.112,3639.366444
1,1,1,25.91,0.074,2,3.175,2,1,0.148,2598.099306
1,1,1,28.96,0.119,2,6.35,2,2,0.238,1451.967501
1,1,1,28.96,0.132,2,9.652,2,3,0.264,955.2417771
1,1,1,28.96,0.147,2,12.7,2,5,0.294,725.9837506
1,1,1,28.96,0.178,2,19.05,2,8,0.356,483.9891671
1,1,1,28.96,0.185,2,25.4,2,15,0.37,362.9918753
1,1,1,28.96,0.185,2,31.75,2,20,0.37,290.3935002
1,1,1,28.96,0.185,2,38.1,2,25,0.37,241.9945835
