Feature,Operation,Work Material,aspect ratio,Speed,feed per tooth,Depth of cut,Dia. Of tool,Cutting tool material,Cutting tool
1,1,1,2,47.85,0.02,0.5,1.6,1,Twist drill bits
1,1,1,10,62.48,0.038,1,3.175,1,Twist drill bits
1,1,1,9,76.2,0.066,2,6.35,1,Twist drill bits
1,1,1,2,77.72,0.066,3,9.652,1,Twist drill bits
1,1,1,5,77.72,0.074,5,12.7,1,Twist drill bits
1,1,1,8,77.72,0.094,8,19.05,1,Twist drill bits
1,1,1,8,77.72,0.102,15,25.4,1,Twist drill bits
1,1,1,9,77.72,0.119,20,31.75,1,Twist drill bits
1,1,1,4,77.72,0.132,25,38.1,1,Twist drill bits
1,1,1,8,80.77,0.132,29,50.8,1,Twist drill bits
1,1,1,10,80.77,0.147,33,76.2,1,Twist drill bits
1,1,1,7,80.77,0.158,37,101.6,1,Twist drill bits
1,1,1,2,80.77,0.168,40,152.4,1,Twist drill bits
1,1,1,1,80.77,0.185,45,304.8,1,Twist drill bits
1,1,1,8,19.51,0.058,0.5,1.6,3,Twist drill bits
1,1,1,7,27.43,0.069,1,3.175,3,Twist drill bits
1,1,1,7,28.65,0.099,2,6.35,3,Twist drill bits
1,1,1,2,30.18,0.119,3,9.652,3,Twist drill bits
1,1,1,1,32.61,0.137,5,12.7,3,Twist drill bits
1,1,1,8,35.66,0.145,8,19.05,3,Twist drill bits
1,1,1,1,36.88,0.163,15,25.4,3,Twist drill bits
1,1,1,2,37.49,0.165,20,31.75,3,Twist drill bits
1,1,1,9,38.4,0.17,25,38.1,3,Twist drill bits
1,1,1,8,38.4,0.178,29,50.8,3,Twist drill bits
1,1,1,2,38.4,0.196,33,76.2,3,Twist drill bits
1,1,1,6,38.4,0.196,37,101.6,3,Twist drill bits
1,1,1,4,38.4,0.196,40,152.4,3,Twist drill bits
1,1,1,1,38.4,0.196,45,304.8,3,Twist drill bits
1,1,1,3,14.63,0.056,0.5,1.6,2,Twist drill bits
1,1,1,10,20.73,0.066,1,3.175,2,Twist drill bits
1,1,1,7,21.64,0.094,2,6.35,2,Twist drill bits
1,1,1,9,22.86,0.114,3,9.652,2,Twist drill bits
1,1,1,8,24.69,0.132,5,12.7,2,Twist drill bits
1,1,1,4,26.82,0.137,8,19.05,2,Twist drill bits
1,1,1,9,28.04,0.155,15,25.4,2,Twist drill bits
1,1,1,1,28.35,0.158,20,31.75,2,Twist drill bits
1,1,1,4,28.96,0.163,25,38.1,2,Twist drill bits
1,1,1,2,28.96,0.168,29,50.8,2,Twist drill bits
1,1,1,7,28.96,0.185,33,76.2,2,Twist drill bits
1,1,1,8,28.96,0.185,37,101.6,2,Twist drill bits
1,1,1,4,28.96,0.185,40,152.4,2,Twist drill bits
1,1,1,1,28.96,0.185,45,304.8,2,Twist drill bits
1,1,1,6,21.03,0.064,0.5,1.6,4,Twist drill bits
1,1,1,2,29.87,0.071,1,3.175,4,Twist drill bits
1,1,1,3,31.09,0.104,2,6.35,4,Twist drill bits
1,1,1,2,32.92,0.124,3,9.652,4,Twist drill bits
