Feature,Diameter(mm),Depth(mm),Radius(mm),Length(mm),Width(mm),Angle( ˚),Distance(mm),Tolerance(µm),SurfaceFinish(µm),MachiningOperation
1,2.386710699985,1.31161624648963,0,0,0,0,0,96,43,Drilling
1,1.26047162463686,1.65071437105812,0,0,0,0,0,83,73,Drilling
1,1.53848720585341,1.05774660131574,0,0,0,0,0,88,45,Drilling
1,1.33846807602542,2.80030815225861,0,0,0,0,0,118,25,Drilling
1,2.5166320516209,1.68545213394914,0,0,0,0,0,77,10,Drilling
1,1.43684739063872,2.1565735448171,0,0,0,0,0,109,34,Drilling
1,0.8914714907669,0.937614717223682,0,0,0,0,0,86,70,Drilling
1,1.68779403939645,2.00240377561843,0,0,0,0,0,61,43,Drilling
1,2.34566633643322,2.86214064311943,0,0,0,0,0,66,63,Drilling
1,0.192550350856631,1.72904652477289,0,0,0,0,0,100,46,Drilling
1,0.933402667669013,0.506674172115036,0,0,0,0,0,108,34,Drilling
1,1.87599440691997,0.640208268488189,0,0,0,0,0,121,19,Drilling
1,2.70642867131344,0.439644520578119,0,0,0,0,0,65,56,Drilling
1,0.945316529594173,2.23624599529255,0,0,0,0,0,97,6,Drilling
1,0.112933146293311,2.06489994045077,0,0,0,0,0,95,42,Drilling
1,1.50069753223546,0.527553107038077,0,0,0,0,0,121,14,Drilling
1,2.01177452240502,1.85705904701339,0,0,0,0,0,62,21,Drilling
1,2.82942644376669,0.67706791005438,0,0,0,0,0,111,68,Drilling
1,1.90451260875844,2.582840236772,0,0,0,0,0,66,19,Drilling
1,0.784042152571473,1.0999080109551,0,0,0,0,0,99,62,Drilling
1,0.720555101080373,2.51030164044701,0,0,0,0,0,65,32,Drilling
1,1.51764790079851,1.65946271846592,0,0,0,0,0,100,7,Drilling
1,0.725612357380698,1.5431297273445,0,0,0,0,0,122,49,Drilling
1,0.872431760290798,0.977145990463261,0,0,0,0,0,81,21,Drilling
1,2.67083018157952,2.17127281642377,0,0,0,0,0,101,13,Drilling
1,0.945479605465844,0.436149258304295,0,0,0,0,0,97,10,Drilling
1,0.539281430010192,0.932944434555715,0,0,0,0,0,98,36,Drilling
1,0.48077112753152,2.09866675241147,0,0,0,0,0,86,6,Drilling
1,1.85836752564899,2.44745824904568,0,0,0,0,0,119,65,Drilling
1,1.53985141852299,2.3107700387663,0,0,0,0,0,65,44,Drilling
1,2.16304812652354,0.668959414768739,0,0,0,0,0,68,49,Drilling
1,1.21574597199673,2.95034355865303,0,0,0,0,0,84,73,Drilling
1,1.16885652082953,2.48360642394055,0,0,0,0,0,118,54,Drilling
1,0.344815778194757,0.254923643223923,0,0,0,0,0,73,59,Drilling
1,0.519920616032695,0.131310141302928,0,0,0,0,0,116,40,Drilling
1,2.21864924765657,1.49655777949892,0,0,0,0,0,65,25,Drilling
1,1.23371732295801,0.601027739767101,0,0,0,0,0,60,8,Drilling
1,0.392292492767939,1.97606554920569,0,0,0,0,0,105,78,Drilling
1,0.796177782612641,1.47204933369044,0,0,0,0,0,77,28,Drilling
1,2.070356469849,2.30063687222281,0,0,0,0,0,102,74,Drilling
1,2.87920195858966,1.63097706176638,0,0,0,0,0,108,36,Drilling
1,1.35862008261391,0.371807658331121,0,0,0,0,0,81,30,Drilling
1,0.381118930691415,2.39122388771017,0,0,0,0,0,134,72,Drilling
1,1.30478722016689,1.89436784353192,0,0,0,0,0,140,46,Drilling
1,1.32814936909953,1.2039822494489,0,0,0,0,0,137,37,Drilling
1,0.925753298443694,0.333308774936381,0,0,0,0,0,66,48,Drilling
1,1.70464826639464,1.2290114617858,0,0,0,0,0,99,28,Drilling
1,2.66223812724906,0.970255322442724,0,0,0,0,0,121,27,Drilling
1,2.70937555948581,0.421833964839473,0,0,0,0,0,63,63,Drilling
1,0.101357007831648,2.58563909721537,0,0,0,0,0,77,36,Drilling
1,0.927372326164973,0.374365322003893,0,0,0,0,0,58,6.47968180379574,Drilling_CB
1,1.24018242130784,1.58933628467917,0,0,0,0,0,60,7.32299386732505,Drilling_CB
1,2.94029175543667,1.98418749869789,0,0,0,0,0,59,14.1060738810392,Drilling_CB
1,1.69325521995902,2.43476103670203,0,0,0,0,0,45,13.1919478070278,Drilling_CB
1,1.81720728061165,1.77004198650733,0,0,0,0,0,42,18.5053562364293,Drilling_CB
1,2.08861521702236,1.96744658456586,0,0,0,0,0,41,9.29638093957091,Drilling_CB
1,1.4192148116265,2.63963389218807,0,0,0,0,0,45,14.8210572699508,Drilling_CB
1,1.83532115793333,0.120954145854283,0,0,0,0,0,46,11.4598078284458,Drilling_CB
1,0.789136989173893,1.32502871088435,0,0,0,0,0,48,7.77723827374353,Drilling_CB
1,2.35106122200915,0.416171924945235,0,0,0,0,0,44,8.2327815081814,Drilling_CB
1,0.681260300302757,2.81301835950363,0,0,0,0,0,53,8.72043399698092,Drilling_CB
1,1.89634665221282,2.72804915539509,0,0,0,0,0,53,18.1435502882878,Drilling_CB
1,2.45357512464408,2.7165014768997,0,0,0,0,0,56,12.602111294011,Drilling_CB
1,2.66411409322649,1.68093133961134,0,0,0,0,0,46,17.0945666579417,Drilling_CB
1,1.10126381914092,0.425623847638449,0,0,0,0,0,49,2.88634312564222,Drilling_CB
1,1.92320408648845,1.71190724827911,0,0,0,0,0,44,9.02442319215323,Drilling_CB
1,0.54612877499193,0.437056033836431,0,0,0,0,0,46,10.8982611647578,Drilling_CB
1,1.7435293663816,2.11521005810403,0,0,0,0,0,40,13.4227838729912,Drilling_CB
1,0.683116114886534,0.636432151894649,0,0,0,0,0,55,13.7388552256035,Drilling_CB
1,2.76926735558061,0.193561342213557,0,0,0,0,0,42,3.81436830639884,Drilling_CB
1,0.535329175029482,1.51469949304998,0,0,0,0,0,45,14.1563555113642,Drilling_CB
1,2.27051648261711,1.50586750997023,0,0,0,0,0,50,16.183855868999,Drilling_CB
1,0.270928410588908,2.10483459250288,0,0,0,0,0,47,12.06595026484,Drilling_CB
1,2.89240012324053,2.98872328722629,0,0,0,0,0,45,2.49496579116523,Drilling_CB
1,1.01160887516795,1.58260383062262,0,0,0,0,0,53,18.1622571339754,Drilling_CB
